Arquivo,Offset,Antes,Depois
GROUP05.BIN,0x20DA8,Não pode levar mais c6Guarnições de Vanguardac7.,Não pode levar mais c6Guarn. vang.c7.
GROUP05.BIN,0x20DDC,Não pode levar mais c6Obras-Primas Anônimasc7.,Não pode levar mais c6Obra anônimac7.
GROUP05.BIN,0x20EBC,c6Erva-de-Benkeic7 obtida!,c6Erva Benkeic7 obtida!
GROUP05.BIN,0x20ED8,Não pode levar mais c6Ervas-de-Benkeic7.,Não pode levar mais c6Erva Benkeic7.
GROUP06.BIN,0x32CE0,Yahiko tomou o c6antídotoc7!,Yahiko tomou o c6Antídotoc7!
GROUP06.BIN,0x33ADC,Você obteve o c6Fragmento I-3c7!,Você obteve o c6Frag. I-3c7!
GROUP06.BIN,0x33DB8,Você obteve a c6flor amarelac7!,Você obteve a c6Flor amarelac7!
GROUP06.BIN,0x346A4,Você obteve o c6mochi kashiwac7!,Você obteve o c6Kashiwac7!
GROUP07.BIN,0x1B8C0,c6Erva Couro-de-Boic7 obtida!,c6Erva de couroc7 obtida!
GROUP07.BIN,0x1B8E0,c6Capa de amiantoc7 obtida!,c6Capa amiantoc7 obtida!
GROUP07.BIN,0x1B8FC,c6Tenmondoc7 obtido!,c6Raiz aspargoc7!
GROUP08.BIN,0x15D14,Obteve c6alga verdec7!,Obteve c6Alga verdec7!
GROUP08.BIN,0x15D2C,Obteve c6alga amarelac7!,Obteve c6Alga amarelac7!
GROUP08.BIN,0x15D48,Obteve c6alga marromc7!,Obteve c6Alga marromc7!
GROUP08.BIN,0x15D60,Obteve c6alga azulc7!,Obteve c6Alga azulc7!
GROUP08.BIN,0x15FBC,Obteve c6Carta de Aoshic7!,Obteve c6Carta Aoshic7!
GROUP08.BIN,0x15FD8,Obteve c6Luvas de couroc7!,Obteve c6Luvas couroc7!
GROUP08.BIN,0x1600C,Não pode carregar mais c6bandanasc7.,Não pode carregar mais c6Faixac7.
GROUP09.BIN,0x1C3C8,c6Kit de viagemc7 obtido!,c6Kit viagemc7 obtido!
GROUP09.BIN,0x1C3E4,c6Manual secretoc7 obtido!,c6Seg. marcialc7 obtido!
GROUP09.BIN,0x1C400,c6Luvas de couroc7 obtidas!,c6Luvas couroc7 obtidas!
GROUP09.BIN,0x1C444,c6Kit de viagemc7 está cheio.,c6Kit viagemc7 está cheio.
GROUP09.BIN,0x1C464,c6Manual secretoc7 está cheio.,c6Seg. marcialc7 está cheio.
GROUP09.BIN,0x1C484,c6Luvas de couroc7 estão cheias.,c6Luvas couroc7 estão cheias.
GROUP09.BIN,0x1C540,c6Talismã de prontidãoc7 obtido!,c6Amul. táticoc7 obtido!
GROUP09.BIN,0x1C564,c6Talismã de prontidãoc7 está cheio.,c6Amul. táticoc7 está cheio.
GROUP09.BIN,0x1C58C,c6Erva Couro-de-Boic7 obtida!,c6Erva de couroc7 obtida!
GROUP09.BIN,0x1C5AC,c6Erva Couro-de-Boic7 está cheia.,c6Erva de couroc7 está cheia.
GROUP09.BIN,0x1C5D0,c6Ryokuhakuganc7 obtido!,c6Pílula verdec7 obtida!
GROUP09.BIN,0x1C5EC,c6Ryokuhakuganc7 está cheio.,c6Pílula verdec7 está cheia.
GROUP10.BIN,0x2D9A4,c6Flor do jardimc7 colhida!,c6Flor subsoloc7 colhida!
GROUP10.BIN,0x2E550,c6Senha Ro-2c7 obtida!!,c6Frag. Ro-2c7 obtido!!
GROUP10.BIN,0x2EB88,c6Comprimido de erva-tigrec7 obtido!,c6Píl. Itadoric7 obtida!
GROUP10.BIN,0x2EBCC,c6Manual de estratégiac7 obtido!,c6Guia marcialc7 obtido!
GROUP10.BIN,0x2EBF0,c6Manual de estratégiac7 obtido!,c6Guia marcialc7 obtido!
GROUP10.BIN,0x2EC14,c6Kit de viagemc7 obtido!,c6Kit viagemc7 obtido!
GROUP10.BIN,0x2EC30,c6Extrato amareloc7 obtido!,c6Erva amarelac7 obtida!
GROUP10.BIN,0x2EC4C,c6Manual de estratégiac7 obtido!,c6Guia marcialc7 obtido!
GROUP10.BIN,0x2EC70,c6Extrato amareloc7 obtido!,c6Erva amarelac7 obtida!
GROUP10.BIN,0x2EC8C,c6Capote de amiantoc7 obtido!,c6Capa amiantoc7 obtida!
GROUP10.BIN,0x2ECC0,c6Erva de Benkeic7 obtida!,c6Erva Benkeic7 obtida!
GROUP10.BIN,0x2ECDC,c6Erva couro-de-boic7 obtida!,c6Erva de couroc7 obtida!
GROUP10.BIN,0x2ECFC,c6Bokken octogonalc7 obtido!,c6Bokken octog.c7 obtido!
GROUP10.BIN,0x2ED1C,c6Comprimido rubroc7 obtido!,c6Pílula rubrac7 obtida!
GROUP10.BIN,0x2ED3C,c6Aspargo selvagemc7 obtido!,c6Raiz aspargoc7 obtida!
GROUP10.BIN,0x2ED5C,c6Protetor de testac7 obtido!,c6Hachiganec7 obtido!
GROUP10.BIN,0x2EDA4,c6Manual de estratégiac7 obtido!,c6Guia marcialc7 obtido!
GROUP10.BIN,0x2EDDC,c6Bokken de bétulac7 obtido!,c6Bokken bétulac7 obtido!
GROUP10.BIN,0x2EDFC,c6Guia de estratégiac7 obtido!,c6Guia marcialc7 obtido!
GROUP10.BIN,0x2EE2C,c6Comprimido de erva-tigrec7 não cabe mais na bolsa.,c6Píl. Itadoric7 não cabe mais na bolsa.
GROUP10.BIN,0x2EE90,c6Manual de estratégiac7 não cabe mais na bolsa.,c6Guia marcialc7 não cabe mais na bolsa.
GROUP10.BIN,0x2EEC4,c6Manual de estratégiac7 não cabe mais na bolsa.,c6Guia marcialc7 não cabe mais na bolsa.
GROUP10.BIN,0x2EEF8,c6Kit de viagemc7 não cabe mais na bolsa.,c6Kit viagemc7 não cabe mais na bolsa.
GROUP10.BIN,0x2EF24,c6Extrato amareloc7 não cabe mais na bolsa.,c6Erva amarelac7 não cabe mais na bolsa.
GROUP10.BIN,0x2EF54,c6Manual de estratégiac7 não cabe mais na bolsa.,c6Guia marcialc7 não cabe mais na bolsa.
GROUP10.BIN,0x2EF88,c6Extrato amareloc7 não cabe mais na bolsa.,c6Erva amarelac7 não cabe mais na bolsa.
GROUP10.BIN,0x2EFB8,c6Capote de fio de ferroc7 não cabe mais na bolsa.,c6Capa de ferroc7 não cabe mais na bolsa.
GROUP10.BIN,0x2F010,c6Erva de Benkeic7 não cabe mais na bolsa.,c6Erva Benkeic7 não cabe mais na bolsa.
GROUP10.BIN,0x2F03C,c6Erva couro-de-boic7 não cabe mais na bolsa.,c6Erva de couroc7 não cabe mais na bolsa.
GROUP10.BIN,0x2F06C,c6Traje de vanguardac7 não cabe mais na bolsa.,c6Guarn. vang.c7 não cabe mais na bolsa.
GROUP10.BIN,0x2F09C,c6Comprimido rubroc7 não cabe mais na bolsa.,c6Pílula rubrac7 não cabe mais na bolsa.
GROUP10.BIN,0x2F0CC,c6Aspargo selvagemc7 não cabe mais na bolsa.,c6Raiz aspargoc7 não cabe mais na bolsa.
GROUP10.BIN,0x2F0FC,c6Protetor de testac7 não cabe mais na bolsa.,c6Hachiganec7 não cabe mais na bolsa.
GROUP10.BIN,0x2F174,c6Manual de estratégiac7 não cabe mais na bolsa.,c6Guia marcialc7 não cabe mais na bolsa.
GROUP10.BIN,0x2F1CC,c6Bokken de bétulac7 não cabe mais na bolsa.,c6Bokken bétulac7 não cabe mais na bolsa.
GROUP10.BIN,0x2F1FC,c6Guia de estratégiac7 não cabe mais na bolsa.,c6Guia marcialc7 não cabe mais na bolsa.
GROUP10.BIN,0x2F2CC,c6Amuleto da prontidãoc7 obtido!,c6Amul. táticoc7 obtido!
GROUP10.BIN,0x2F2F0,c6Amuleto da prontidãoc7 não cabe mais na bolsa.,c6Amul. táticoc7 não cabe mais na bolsa.
GROUP10.BIN,0x2F324,c6Erva couro-de-boic7 obtida!,c6Erva de couroc7 obtida!
GROUP10.BIN,0x2F344,c6Erva couro-de-boic7 não cabe mais na bolsa.,c6Erva de couroc7 não cabe mais na bolsa.
GROUP10.BIN,0x2F3E4,c6Grão de damascoc7 obtido!,c6Grão damascoc7 obtido!
GROUP10.BIN,0x2F404,c6Grão de damascoc7 não cabe mais na bolsa.,c6Grão damascoc7 não cabe mais na bolsa.
GROUP10.BIN,0x2F434,c6Amuleto da prontidãoc7 obtido!,c6Amul. táticoc7 obtido!
GROUP10.BIN,0x2F458,c6Amuleto da prontidãoc7 não cabe mais na bolsa.,c6Amul. táticoc7 não cabe mais na bolsa.
GROUP11.BIN,0x347CC,c6Floresc7 oferecidas ao túmulo!,c6Florc7 oferecida ao túmulo!
GROUP11.BIN,0x349C8,c6Pílula Verdec7 obtida!,c6Pílula verdec7 obtida!
GROUP11.BIN,0x349F8,c6Amuleto Táticoc7 obtido!,c6Amul. táticoc7 obtido!
GROUP11.BIN,0x34A44,c6Pílula Verdec7^cVocê não pode carregar mais.,c6Pílula verdec7^cVocê não pode carregar mais.
GROUP11.BIN,0x34AA4,c6Amuleto Táticoc7^cVocê não pode carregar mais.,c6Amul. táticoc7^cVocê não pode carregar mais.
GROUP13.BIN,0x40924,Quer receber a Flor rosada?^s,Quer receber a Flor rosa?^s
GROUP13.BIN,0x40944,c6Flor rosadac7 obtida!,c6Flor rosac7 obtida!
GROUP13.BIN,0x40E2C,c6Bolacha de arrozc7 obtida!,c6Senbeic7 obtido!
GROUP14.BIN,0x432CC,c6Caderno de notasc7 encontrado!,c6Cadernoc7 encontrado!
GROUP14.BIN,0x432F0,"Kaoru^c Acho que é isto... Vejamos.^c ""Caderno de notas da família^c Nanri""... Parece uma espécie de^c diário do pai da Saori.","Kaoru^c Acho que é isto... Vejamos.^c ""Caderno da família^c Nanri""... Parece uma espécie de^c diário do pai da Saori."
GROUP14.BIN,0x43944,c6Selo I-1c7 obtido!!,c6Frag. I-1c7 obtido!!
GROUP14.BIN,0x43D30,Hitomi^c Que febre alta! Ele precisa tomar^c um remédio depressa! Uma Pílula^c Jintan faria a febre baixar...,Hitomi^c Que febre alta! Ele precisa tomar^c um remédio depressa! Um Jintan^c faria a febre baixar...
GROUP14.BIN,0x43DA0,"Hitomi^c Ei, vocês têm uma Pílula Jintan?^c Se tiverem, poderiam dá-la a este^c viajante?^s","Hitomi^c Ei, vocês têm um Jintan?^c Se tiverem, poderiam dá-lo a este^c viajante?^s"
GROUP14.BIN,0x43FB4,c6Pílula Jintanc7 administrada!,c6Jintanc7 administrado!
GROUP16.BIN,0x29EEC,c6Kiku Ichimonjic7 obtida!,c6Ichimonjic7 obtida!
GROUP16.BIN,0x29FCC,c6Ryokuhakumaruc7 obtida!,c6Pílula verdec7 obtida!
GROUP16.BIN,0x29FE8,c6Cota de malhac7 obtida!,c6Cota malhac7 obtida!
GROUP16.BIN,0x2A02C,c6Cota de amiantoc7 obtida!,c6Cota amiantoc7 obtida!
GROUP16.BIN,0x2A048,c6Pílula Jahatsuc7 obtida!,c6Pílula cobrac7 obtida!
GROUP16.BIN,0x2A064,c6Pílula Kojoc7 obtida!,c6Píl. Itadoric7 obtida!
GROUP16.BIN,0x2A080,c6Bokken de Ébanoc7 obtido!,c6Bokken ébanoc7 obtido!
GROUP16.BIN,0x2A0B4,Não cabe mais c6Lápis-lazúlic7.,Não cabe mais c6Lazúlic7.
GROUP16.BIN,0x2A0D8,Não cabe mais c6Ryokuhakumaruc7.,Não cabe mais c6Pílula verdec7.
GROUP16.BIN,0x2A0FC,Não cabe mais c6Cota de malhac7.,Não cabe mais c6Cota malhac7.
GROUP16.BIN,0x2A13C,Não cabe mais c6Lápis-lazúlic7.,Não cabe mais c6Lazúlic7.
GROUP16.BIN,0x2A160,Não cabe mais c6Cota de amiantoc7.,Não cabe mais c6Cota amiantoc7.
GROUP16.BIN,0x2A184,Não cabe mais c6Pílula Jahatsuc7.,Não cabe mais c6Pílula cobrac7.
GROUP16.BIN,0x2A1A8,Não cabe mais c6Pílula Kojoc7.,Não cabe mais c6Píl. Itadoric7.
GROUP16.BIN,0x2A1CC,Não cabe mais c6Bokken de Ébanoc7.,Não cabe mais c6Bokken ébanoc7.
GROUP17.BIN,0xE980,c6Selo Ha-3c7 obtido!!,c6Frag. Ha-3c7 obtido!!
GROUP17.BIN,0xEC50,c6Erva Amarelac7 obtida!,c6Erva amarelac7 obtida!
GROUP17.BIN,0xEC6C,c6Erva Couro-de-Boic7 obtida!,c6Erva de couroc7 obtida!
GROUP17.BIN,0xEC8C,c6Amuleto Táticoc7 obtido!,c6Amul. táticoc7 obtido!
GROUP17.BIN,0xECA8,c6Osafune Kiyomitsuc7 obtida!,c6Kiyomitsuc7 obtida!
GROUP17.BIN,0xECC8,c6Pílula Itadoric7 obtida!,c6Píl. Itadoric7 obtida!
GROUP17.BIN,0xECE4,c6Pílula de Rubiac7 obtida!,c6Pílula rubrac7 obtida!
GROUP17.BIN,0xED04,c6Pílula Carvalho Verdec7 obtida!,c6Pílula verdec7 obtida!
GROUP17.BIN,0xED3C,c6Guia de Estratégiac7 obtido!,c6Guia marcialc7 obtido!
GROUP17.BIN,0xED5C,c6Tratado de Estratégiac7 obtido!,c6Seg. marcialc7 obtido!
GROUP17.BIN,0xED94,c6Pílula Barba-de-Cobrac7 obtida!,c6Pílula cobrac7 obtida!
GROUP17.BIN,0xEDB8,c6Raiz de Aspargoc7 obtida!,c6Raiz aspargoc7 obtida!
GROUP17.BIN,0xEDE8,Não há espaço para mais^cc6Erva Couro-de-Boic7.,Não há espaço para mais^cc6Erva de couroc7.
GROUP17.BIN,0xEE1C,Não há espaço para mais^cc6Osafune Kiyomitsuc7.,Não há espaço para mais^cc6Kiyomitsuc7.
GROUP17.BIN,0xEE50,Não há espaço para mais^cc6Pílula Itadoric7.,Não há espaço para mais^cc6Píl. Itadoric7.
GROUP17.BIN,0xEE84,Não há espaço para mais^cc6Pílula Carvalho Verdec7.,Não há espaço para mais^cc6Pílula verdec7.
GROUP17.BIN,0xEEBC,Não há espaço para mais^cc6Guia de Estratégiac7.,Não há espaço para mais^cc6Guia marcialc7.
GROUP17.BIN,0xEEF4,Não há espaço para mais^cc6Tratado de Estratégiac7.,Não há espaço para mais^cc6Seg. marcialc7.
GROUP17.BIN,0xEF7C,Não há espaço para mais^cc6Pílula Barba-de-Cobrac7.,Não há espaço para mais^cc6Pílula cobrac7.
GROUP17.BIN,0xEFB4,Não há espaço para mais^cc6Erva Amarelac7.,Não há espaço para mais^cc6Erva amarelac7.
GROUP17.BIN,0xEFE4,Não há espaço para mais^cc6Pílula de Rubiac7.,Não há espaço para mais^cc6Pílula rubrac7.
GROUP17.BIN,0xF018,Não há espaço para mais^cc6Raiz de Aspargoc7.,Não há espaço para mais^cc6Raiz aspargoc7.
GROUP17.BIN,0xF04C,Não há espaço para mais^cc6Amuleto Táticoc7.,Não há espaço para mais^cc6Amul. táticoc7.
GROUP17.BIN,0xF110,c6Pílula Itadoric7 obtida!,c6Píl. Itadoric7 obtida!
GROUP17.BIN,0xF12C,Não há espaço para mais^cc6Pílula Itadoric7.,Não há espaço para mais^cc6Píl. Itadoric7.
GROUP17.BIN,0xF160,c6Pílula de Rubiac7 obtida!,c6Pílula rubrac7 obtida!
GROUP17.BIN,0xF180,Não há espaço para mais^cc6Pílula de Rubiac7.,Não há espaço para mais^cc6Pílula rubrac7.
GROUP17.BIN,0xF1B4,c6Erva-de-Benkeic7 obtida!,c6Erva Benkeic7 obtida!
GROUP17.BIN,0xF1D0,Não há espaço para mais^cc6Erva-de-Benkeic7.,Não há espaço para mais^cc6Erva Benkeic7.
GROUP17.BIN,0xF200,c6Pílula Casco-de-Carneiroc7 obtida!,c6Pílula azedac7 obtida!
GROUP17.BIN,0xF228,Não há espaço para mais^cc6Pílula Casco-de-Carneiroc7.,Não há espaço para mais^cc6Pílula azedac7.
GROUP17.BIN,0xF264,c6Pílula Jahatsuc7 obtida!,c6Pílula cobrac7 obtida!
GROUP17.BIN,0xF280,Não há espaço para mais^cc6Pílula Jahatsuc7.,Não há espaço para mais^cc6Pílula cobrac7.
GROUP17.BIN,0xF2B4,c6Amuleto Táticoc7 obtido!,c6Amul. táticoc7 obtido!
GROUP17.BIN,0xF2D0,Não há espaço para mais^cc6Amuleto Táticoc7.,Não há espaço para mais^cc6Amul. táticoc7.
GROUP17.BIN,0xF304,c6Pílula Casco-de-Carneiroc7 obtida!,c6Pílula azedac7 obtida!
GROUP17.BIN,0xF32C,Não há espaço para mais^cc6Pílula Casco-de-Carneiroc7.,Não há espaço para mais^cc6Pílula azedac7.
GROUP17.BIN,0xF368,c6Erva Couro-de-Boic7 obtida!,c6Erva de couroc7 obtida!
GROUP17.BIN,0xF388,Não há espaço para mais^cc6Erva Couro-de-Boic7.,Não há espaço para mais^cc6Erva de couroc7.
GROUP18.BIN,0x1CF20,c6Tratado de Estratégiac7 obtido!,c6Seg. marcialc7 obtido!
GROUP18.BIN,0x1CF44,c6Lápis-lazúlic7 obtido!,c6Lazúlic7 obtido!
GROUP18.BIN,0x1CF60,c6Erva-benkeic7 obtida!,c6Erva Benkeic7 obtida!
GROUP18.BIN,0x1CF78,c6Cota de amiantoc7 obtida!,c6Cota amiantoc7 obtida!
GROUP18.BIN,0x1CF94,c6Pílula Carvalho Verdec7 obtida!,c6Pílula verdec7 obtida!
GROUP18.BIN,0x1CFB8,c6Amuleto Táticoc7 obtido!,c6Amul. táticoc7 obtido!
GROUP18.BIN,0x1CFE8,c6Erva Couro-de-Boic7 obtida!,c6Erva de couroc7 obtida!
GROUP18.BIN,0x1D048,Não há espaço para mais^cc6Tratado de Estratégiac7.,Não há espaço para mais^cc6Seg. marcialc7.
GROUP18.BIN,0x1D080,Não há espaço para mais^cc6Lápis-lazúlic7.,Não há espaço para mais^cc6Lazúlic7.
GROUP18.BIN,0x1D0B0,Não há espaço para mais^cc6Erva-benkeic7.,Não há espaço para mais^cc6Erva Benkeic7.
GROUP18.BIN,0x1D0E0,Não há espaço para mais^cc6Cota de amiantoc7.,Não há espaço para mais^cc6Cota amiantoc7.
GROUP18.BIN,0x1D114,Não há espaço para mais^cc6Pílula Carvalho Verdec7.,Não há espaço para mais^cc6Pílula verdec7.
GROUP18.BIN,0x1D14C,Não há espaço para mais^cc6Amuleto Táticoc7.,Não há espaço para mais^cc6Amul. táticoc7.
GROUP18.BIN,0x1D1A8,Não há espaço para mais^cc6Erva Couro-de-Boic7.,Não há espaço para mais^cc6Erva de couroc7.
GROUP21.BIN,0xE168,c6Selo Ha-2c7 obtido!!c7,c6Frag. Ha-2c7 obtido!!c7
GROUP22.BIN,0x1F038,c6Chave da Florc7 obtida!,c6Chave florc7 obtida!
GROUP22.BIN,0x1F054,c6Chave do Pássaroc7 obtida!,c6Chave pássaroc7 obtida!
GROUP22.BIN,0x1F074,c6Chave do Ventoc7 obtida!,c6Chave ventoc7 obtida!
GROUP22.BIN,0x1F090,c6Chave da Luac7 obtida!,c6Chave luac7 obtida!
GROUP22.BIN,0x1F0AC,c6Chave da Nevec7 obtida!,c6Chave nevec7 obtida!
GROUP22.BIN,0x1F0C8,c6Chave da Terrac7 obtida!,c6Chave terrac7 obtida!
GROUP22.BIN,0x1F0E4,c6Chave da Águac7 obtida!,c6Chave águac7 obtida!
GROUP22.BIN,0x1F100,c6Chave do Fogoc7 obtida!,c6Chave fogoc7 obtida!
GROUP22.BIN,0x1F580,Kaoru^c J-já sei! Use aquela bola de^c cristal!,Kaoru^c J-já sei! Use aquele cristal^c!
GROUP22.BIN,0x1F9B8,c6Selo I-2c7 obtido!!,c6Frag. I-2c7 obtido!!
GROUP22.BIN,0x1FA78,c6Guia de Estratégiac7 obtido!,c6Guia marcialc7 obtido!
GROUP22.BIN,0x1FA98,c6Erva Couro-de-Boic7 obtida!,c6Erva de couroc7 obtida!
GROUP22.BIN,0x1FAB8,c6Tratado de Estratégiac7 obtido!,c6Seg. marcialc7 obtido!
GROUP22.BIN,0x1FADC,c6Amuleto Táticoc7 obtido!,c6Amul. táticoc7 obtido!
GROUP22.BIN,0x1FB0C,c6Pílula Carvalho Verdec7 obtida!,c6Pílula verdec7 obtida!
GROUP22.BIN,0x1FB30,c6Pílula Barba-de-Cobrac7 obtida!,c6Pílula cobrac7 obtida!
GROUP22.BIN,0x1FB68,c6Pílula Itadoric7 obtida!,c6Píl. Itadoric7 obtida!
GROUP22.BIN,0x1FB98,c6Pílula Carvalho Verdec7 obtida!,c6Pílula verdec7 obtida!
GROUP23.BIN,0x15650,c6Kogarasu Maruc7 obtida!,c6Kogarasuc7 obtida!
GROUP23.BIN,0x1566C,c6Amuleto Táticoc7 obtido!,c6Amul. táticoc7 obtido!
GROUP23.BIN,0x15688,c6Feijão de Bambuc7 obtido!,c6Grão damascoc7 obtido!
GROUP23.BIN,0x156A8,c6Pílula Carvalho Verdec7 obtida!,c6Pílula verdec7 obtida!
GROUP23.BIN,0x156CC,c6Pílula de Rubiac7 obtida!,c6Pílula rubrac7 obtida!
GROUP23.BIN,0x156EC,c6Amuleto Táticoc7 obtido!,c6Amul. táticoc7 obtido!
GROUP23.BIN,0x15730,c6Pílula Carvalho Verdec7 obtida!,c6Pílula verdec7 obtida!
GROUP23.BIN,0x15754,c6Kiku Ichimonjic7 obtida!,c6Ichimonjic7 obtida!
GROUP23.BIN,0x15770,c6Pílula de Rubiac7 obtida!,c6Pílula rubrac7 obtida!
GROUP23.BIN,0x15790,c6Erva-de-Benkeic7 obtida!,c6Erva Benkeic7 obtida!
GROUP23.BIN,0x157C0,c6Pílula Casco-de-Carneiroc7 obtida!,c6Pílula azedac7 obtida!
GROUP23.BIN,0x15800,c6Erva Couro-de-Boic7 obtida!,c6Erva de couroc7 obtida!
GROUP23.BIN,0x15820,c6Pílula Carvalho Verdec7 obtida!,c6Pílula verdec7 obtida!
GROUP23.BIN,0x15844,c6Pílula Casco-de-Carneiroc7 obtida!,c6Pílula azedac7 obtida!
GROUP23.BIN,0x1586C,c6Pílula Casco-de-Carneiroc7 obtida!,c6Pílula azedac7 obtida!
GROUP23.BIN,0x158A8,Sem espaço:^cc6Kogarasu Maruc7.,Sem espaço:^cc6Kogarasuc7.
GROUP23.BIN,0x158CC,Sem espaço:^cc6Amuleto Táticoc7.,Sem espaço:^cc6Amul. táticoc7.
GROUP23.BIN,0x158F0,Sem espaço:^cc6Feijão de Bambuc7.,Sem espaço:^cc6Grão damascoc7.
